,IP,Time,URL,Status,month,day,Methods,URL_new
14668,10.130.2.1,17/Feb/2018,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200,Feb,17,GET ,bootstrap-3.3.7
14669,10.130.2.1,17/Feb/2018,GET /bootstrap-3.3.7/js/bootstrap.js HTTP/1.1,200,Feb,17,GET ,bootstrap-3.3.7
14670,10.130.2.1,17/Feb/2018,GET / HTTP/1.1,302,Feb,17,GET , HTTP
14671,10.130.2.1,17/Feb/2018,GET /login.php HTTP/1.1,200,Feb,17,GET ,login.php HTTP
14672,10.130.2.1,17/Feb/2018,GET /home.php HTTP/1.1,302,Feb,17,GET ,home.php HTTP
14673,10.130.2.1,17/Feb/2018,GET /login.php HTTP/1.1,200,Feb,17,GET ,login.php HTTP
14674,10.128.2.1,17/Feb/2018,GET /css/font-awesome.min.css HTTP/1.1,200,Feb,17,GET ,css
14675,10.130.2.1,17/Feb/2018,GET /css/normalize.css HTTP/1.1,200,Feb,17,GET ,css
14676,10.130.2.1,17/Feb/2018,GET /css/bootstrap.min.css HTTP/1.1,200,Feb,17,GET ,css
14677,10.128.2.1,17/Feb/2018,GET /css/style.css HTTP/1.1,200,Feb,17,GET ,css
14678,10.131.0.1,17/Feb/2018,GET /css/main.css HTTP/1.1,200,Feb,17,GET ,css
14679,10.130.2.1,17/Feb/2018,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200,Feb,17,GET ,js
14680,10.130.2.1,17/Feb/2018,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200,Feb,17,GET ,js
14681,10.131.0.1,17/Feb/2018,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200,Feb,17,GET ,bootstrap-3.3.7
14682,10.131.0.1,17/Feb/2018,GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1,200,Feb,17,GET ,fonts
14683,10.131.0.1,17/Feb/2018,GET /img/ruet.png HTTP/1.1,200,Feb,17,GET ,img
14684,10.131.0.1,17/Feb/2018,GET /login.php HTTP/1.1,200,Feb,17,GET ,login.php HTTP
14685,10.131.0.1,17/Feb/2018,GET /login.php HTTP/1.1,200,Feb,17,GET ,login.php HTTP
14686,10.128.2.1,17/Feb/2018,GET /img/ruet.png HTTP/1.1,304,Feb,17,GET ,img
14687,10.128.2.1,17/Feb/2018,GET /robots.txt HTTP/1.1,404,Feb,17,GET ,robots.txt HTTP
14688,10.131.0.1,17/Feb/2018,GET / HTTP/1.1,302,Feb,17,GET , HTTP
14689,10.128.2.1,17/Feb/2018,GET /login.php HTTP/1.1,200,Feb,17,GET ,login.php HTTP
14690,10.131.0.1,17/Feb/2018,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200,Feb,17,GET ,js
14691,10.130.2.1,17/Feb/2018,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200,Feb,17,GET ,bootstrap-3.3.7
14692,10.131.0.1,17/Feb/2018,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200,Feb,17,GET ,js
14693,10.128.2.1,17/Feb/2018,GET /home.php HTTP/1.1,302,Feb,17,GET ,home.php HTTP
14694,10.130.2.1,17/Feb/2018,GET /robots.txt HTTP/1.1,404,Feb,17,GET ,robots.txt HTTP
14695,10.128.2.1,17/Feb/2018,GET /login.php HTTP/1.1,200,Feb,17,GET ,login.php HTTP
14696,10.128.2.1,17/Feb/2018,GET /css/bootstrap.min.css HTTP/1.1,200,Feb,17,GET ,css
14697,10.128.2.1,17/Feb/2018,GET /css/font-awesome.min.css HTTP/1.1,200,Feb,17,GET ,css
14698,10.131.0.1,17/Feb/2018,GET /css/normalize.css HTTP/1.1,200,Feb,17,GET ,css
14699,10.131.0.1,17/Feb/2018,GET /css/main.css HTTP/1.1,200,Feb,17,GET ,css
14700,10.128.2.1,17/Feb/2018,GET /css/style.css HTTP/1.1,200,Feb,17,GET ,css
14701,10.131.0.1,17/Feb/2018,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200,Feb,17,GET ,js
14702,10.128.2.1,17/Feb/2018,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200,Feb,17,GET ,js
14703,10.128.2.1,17/Feb/2018,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200,Feb,17,GET ,bootstrap-3.3.7
14704,10.128.2.1,17/Feb/2018,GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1,200,Feb,17,GET ,fonts
14705,10.128.2.1,17/Feb/2018,GET /img/ruet.png HTTP/1.1,200,Feb,17,GET ,img
14706,10.128.2.1,17/Feb/2018,POST /process.php HTTP/1.1,302,Feb,17,POST ,process.php HTTP
14707,10.128.2.1,17/Feb/2018,GET /login.php?value=fail HTTP/1.1,200,Feb,17,GET ,login.php?value=fail HTTP
14708,10.128.2.1,17/Feb/2018,GET / HTTP/1.1,302,Feb,17,GET , HTTP
14709,10.130.2.1,17/Feb/2018,GET /login.php HTTP/1.1,200,Feb,17,GET ,login.php HTTP
14710,[Sat,Feb,20:28.3,2018],,Fe,20:28.3,
